#Longitude Latitude Depth_(km) mrr mtt mff mrt mrf mtf Exponent_(dyn-cm) Seismic_moment_Mo Magnitude_Mw Strike_A Dip_A Rake_A Strike_B Dip_B Rake_B Slip_trend_A Slip_plunge_A Slip_trend_B Slip_plunge_B Trend_P Plunge_P Trend_B Plunge_B Trend_T Plunge_T fclvd Isotropic Iso_ratio u_Hudson v_Hudson X_Kaverina Y_Kaverina ID rupture_type
-49.93 15.65 12.0 -1.56 2.46 -0.899 -0.507 -0.756 1.69 19.0 2.88641e+19 2.2 284.316 51.3949 -31.0314 34.8907 66.2434 -137.022 304.891 -23.7566 194.316 -38.6051 256.097 46.5569 58.2716 42.0382 156.476 8.99447 0.347997 3333330000000000.0 0.000115484 -0.696197 0.000101527 -0.413747 0.191554 201811111403A N-SS
-66.6 -57.55 20.7 3.67 -0.716 -2.96 0.705 1.11 1.41 19.0 3.88443e+19 2.3 139.829 41.5233 66.9626 349.425 52.4064 109.111 79.4247 37.5936 229.829 48.4767 65.9726 5.62549 157.489 15.0359 316.02 73.8993 0.0833469 -2e+16 -0.000514876 -0.165703 -0.000495182 0.650123 -0.234913 201810290654A R
156.61 49.27 22.6 1.64 -0.478 -1.17 0.605 0.958 -0.84 19.0 2.03295e+19 2.1 214.768 28.062 91.6321 32.9187 61.9504 89.1301 122.919 28.0496 304.768 61.938 123.562 16.9461 33.3278 0.767722 300.81 73.0355 0.0404617 -2.66667e+16 -0.00131172 0.0834905 -0.00128354 0.505857 -0.536302 201810090745A R
71.25 37.05 126.1 2.71 -3.73 1.02 -1.25 -1.82 -0.875 19.0 4.09747e+19 2.3 107.74 39.826 136.466 233.857 63.8234 58.8439 323.857 26.1766 197.74 50.174 345.944 13.363 248.79 27.6655 98.9984 58.7582 0.0789887 0.0 0.0 0.157977 -7.40149e-17 0.453181 -0.0660497 201805091041A R-SS
153.43 52.71 473.4 -0.543 0.25 0.293 -0.093 -0.907 -0.885 20.0 1.35504e+20 2.7 99.4919 42.4542 -156.328 351.568 74.2752 -50.0409 261.568 -15.7248 9.49187 -47.5458 301.96 45.5084 158.774 38.1851 52.8109 19.2735 0.0112004 0.0 0.0 -0.0224008 0.0 -0.273814 0.0795958 201810131110A N-SS
-177.59 51.26 31.5 2.62 -2.43 -0.19 2.07 1.54 -0.952 19.0 3.73704e+19 2.3 261.578 24.6668 111.239 58.4225 67.1081 80.5545 148.423 22.8919 351.578 65.3332 155.59 21.5629 62.1253 8.69556 311.445 66.584 0.0125186 0.0 0.0 0.0250372 -7.40149e-17 0.406741 -0.419531 201808230335A R
-178.11 -18.31 564.2 -0.559 0.308 0.251 -0.305 -1.02 0.505 20.0 1.27421e+20 2.7 254.591 23.1006 -38.6733 20.9523 75.8081 -108.419 290.952 -14.1919 164.591 -66.8994 267.744 55.464 25.6199 17.8372 125.679 28.4928 0.0332125 0.0 0.0 -0.066425 -1.4803e-16 -0.249713 -0.28616 201809301052A N
121.54 24.0 13.9 2.45 -4.25 1.8 1.44 -0.594 -2.54 19.0 4.74663e+19 2.4 211.897 53.9975 27.8517 104.643 67.7934 140.586 194.643 22.2066 301.897 36.0025 161.11 8.53436 259.945 45.666 63.0455 43.0708 0.30536 -2730.67 -5.75285e-17 0.610721 -4.44089e-16 0.388491 0.251468 201802061550A SS-R
148.8 -6.44 37.2 1.03 -1.02 -0.009 0.274 0.456 -0.458 19.0 1.24236e+19 2.0 266.19 37.2588 117.965 52.4838 57.6747 70.3689 142.484 32.3253 356.19 52.7412 156.472 10.6427 63.2824 16.493 277.942 70.2033 0.0551725 3333330000000000.0 0.000268306 0.109822 0.000261321 0.561507 -0.239122 201807191830A R
142.97 -6.29 12.0 1.69 -1.29 -0.4 1.13 -0.255 0.7 21.0 2.04255e+21 3.5 307.139 28.7785 105.181 109.939 62.314 81.8152 199.939 27.686 37.1393 61.2215 205.979 16.9316 113.762 7.24238 1.4436 71.4976 0.0272498 0.0 0.0 -0.0544996 -7.40149e-17 0.49134 -0.426284 201802251744A R
9.95 -53.06 12.0 -3.02 8.55 -5.53 2.09 0.8 0.69 19.0 7.86677e+19 2.5 132.453 71.4099 -4.29623 223.825 85.9283 -161.361 133.825 -4.07168 42.4534 -18.5901 89.6369 15.9996 235.713 70.937 356.712 10.0911 0.356881 -5461.33 -6.94228e-17 -0.713762 -1.4803e-16 -0.0747212 0.618425 201801281603A SS
-111.06 26.78 17.3 -0.201 -3.04 3.24 -0.097 -0.463 -0.612 19.0 3.23854e+19 2.3 129.27 82.8896 176.855 219.66 86.8791 7.12104 309.66 3.12086 219.27 7.11043 354.287 2.81037 243.206 82.2283 84.6446 7.23987 0.0749119 -3333330000000000.0 -0.000102927 -0.149625 -9.93114e-05 0.0595235 0.806367 201801191617A SS
-80.6 -0.58 29.2 1.29 0.15 -1.44 0.285 -2.03 -0.225 19.0 2.47646e+19 2.2 23.2868 18.7231 117.521 174.469 73.4608 81.0991 264.469 16.5392 113.287 71.2769 271.583 27.9301 177.022 8.52982 71.6028 60.5728 0.0378514 0.0 0.0 0.0757028 1.11022e-16 0.295276 -0.441549 201712031119A R
168.84 -21.49 22.0 -1.56 0.518 1.04 -0.444 -0.49 -0.48 19.0 1.59981e+19 2.1 133.935 43.3603 -115.583 347.299 51.7369 -67.8154 257.299 -38.2631 43.9353 -46.6397 318.017 72.1748 153.127 17.2461 61.7674 4.37074 0.242326 -6666670000000000.0 -0.000416716 0.485404 -0.000376325 -0.659248 -0.189161 201711200009A N
140.15 10.0 12.0 0.002 3.1 -3.1 -0.021 -0.826 0.602 19.0 3.26422e+19 2.3 308.67 78.9949 -8.47079 40.2984 81.6861 -168.877 310.298 -8.3139 218.67 -11.0051 264.72 13.7231 76.6299 76.1443 174.262 1.87615 0.059263 6666670000000000.0 0.000204235 0.118129 0.000198519 -0.156085 0.736752 201712080951A SS
8.92 -53.89 16.4 -0.152 1.55 -1.4 0.124 0.218 0.385 20.0 1.55046e+20 2.7 127.514 80.4007 -2.6435 217.955 87.3935 -170.391 127.955 -2.60646 37.5136 -9.59934 83.1114 8.63106 232.99 80.0466 352.363 4.91968 0.0834475 -6.66667e+16 -0.00042998 -0.166068 -0.000413464 -0.0492554 0.766772 201710101853A SS
